ds,y
1989-12-28 11:0:0,242.35
1989-12-28 12:0:0,234.27
1989-12-28 13:0:0,221.82
1989-12-28 14:0:0,221.48
1989-12-28 15:0:0,215.39
1989-12-28 16:0:0,210.67
1989-12-28 17:0:0,210.04
1989-12-28 18:0:0,211.83
1989-12-28 19:0:0,210.75
1989-12-28 20:0:0,204.96
1989-12-28 21:0:0,189.84
1989-12-28 22:0:0,185.04
1989-12-28 23:0:0,174.7
1989-12-29 0:0:0,166.71
1989-12-29 1:0:0,165.14
1989-12-29 2:0:0,165.91
1989-12-29 3:0:0,167.85
1989-12-29 4:0:0,171.98
1989-12-29 5:0:0,187.26
1989-12-29 6:0:0,201.07
1989-12-29 7:0:0,217.04
1989-12-29 8:0:0,233.58
1989-12-29 9:0:0,238.63
1989-12-29 10:0:0,236.51
1989-12-29 11:0:0,239.07
1989-12-29 12:0:0,233.76
1989-12-29 13:0:0,231.87
1989-12-29 14:0:0,217.1
1989-12-29 15:0:0,213.54
1989-12-29 16:0:0,210.25
1989-12-29 17:0:0,207.46
1989-12-29 18:0:0,208.31
1989-12-29 19:0:0,215.01
1989-12-29 20:0:0,207.03
1989-12-29 21:0:0,200.56
1989-12-29 22:0:0,186.44
1989-12-29 23:0:0,169.98
1989-12-30 0:0:0,160.05
1989-12-30 1:0:0,157.8
1989-12-30 2:0:0,160.44
1989-12-30 3:0:0,165.55
1989-12-30 4:0:0,172.34
1989-12-30 5:0:0,181.9
1989-12-30 6:0:0,192.18
1989-12-30 7:0:0,204.1
1989-12-30 8:0:0,213.24
1989-12-30 9:0:0,227.48
1989-12-30 10:0:0,244.81
1989-12-30 11:0:0,259.7
1989-12-30 12:0:0,267.44
1989-12-30 13:0:0,257.32
1989-12-30 14:0:0,245.01
1989-12-30 15:0:0,233.85
1989-12-30 16:0:0,231.3
1989-12-30 17:0:0,222.17
1989-12-30 18:0:0,217.02
1989-12-30 19:0:0,211.08
1989-12-30 20:0:0,203.88
1989-12-30 21:0:0,202.45
1989-12-30 22:0:0,198.53
1989-12-30 23:0:0,185.45
1989-12-31 0:0:0,174.74
1989-12-31 1:0:0,170.21
1989-12-31 2:0:0,180.4
1989-12-31 3:0:0,184.71
1989-12-31 4:0:0,186.26
1989-12-31 5:0:0,190.82
1989-12-31 6:0:0,196.35
1989-12-31 7:0:0,206.95
1989-12-31 8:0:0,214.88
1989-12-31 9:0:0,223.9
1989-12-31 10:0:0,241.52
1989-12-31 11:0:0,264.16
1989-12-31 12:0:0,268.72
1989-12-31 13:0:0,262.27
1989-12-31 14:0:0,253.64
1989-12-31 15:0:0,242.7
1989-12-31 16:0:0,238.32
1989-12-31 17:0:0,234.68
1989-12-31 18:0:0,231.85
1989-12-31 19:0:0,227.92
1989-12-31 20:0:0,223.98
1989-12-31 21:0:0,219.77
1989-12-31 22:0:0,216.51
1989-12-31 23:0:0,209.02
1990-1-1 0:0:0,200.48
1990-1-1 1:0:0,205.16
1990-1-1 2:0:0,199.67
1990-1-1 3:0:0,200.46
1990-1-1 4:0:0,189.6
1990-1-1 5:0:0,185.59
1990-1-1 6:0:0,193.79
1990-1-1 7:0:0,204.3
1990-1-1 8:0:0,210.88
1990-1-1 9:0:0,212.89
1990-1-1 10:0:0,219.34
1990-1-1 11:0:0,227.74
1990-1-1 12:0:0,233.38
1990-1-1 13:0:0,236.06
1990-1-1 14:0:0,236.13
1990-1-1 15:0:0,232.46
1990-1-1 16:0:0,227.42
1990-1-1 17:0:0,222.78
1990-1-1 18:0:0,222.49
1990-1-1 19:0:0,220.89
1990-1-1 20:0:0,219.46
1990-1-1 21:0:0,199.65
1990-1-1 22:0:0,178.28
1990-1-1 23:0:0,169.84
1990-1-2 0:0:0,157.53
1990-1-2 1:0:0,153.5
1990-1-2 2:0:0,155.7
1990-1-2 3:0:0,173.58
1990-1-2 4:0:0,181.86
1990-1-2 5:0:0,191.1
1990-1-2 6:0:0,207.72
1990-1-2 7:0:0,233.26
1990-1-2 8:0:0,257.02
1990-1-2 9:0:0,265.85
1990-1-2 10:0:0,264.18
1990-1-2 11:0:0,255.74
1990-1-2 12:0:0,129.58
1990-1-2 13:0:0,124.8
1990-1-2 14:0:0,151.69
1990-1-2 15:0:0,233.54
1990-1-2 16:0:0,230.9
1990-1-2 17:0:0,230.57
1990-1-2 18:0:0,237.2
1990-1-2 19:0:0,243.16
1990-1-2 20:0:0,243.57
1990-1-2 21:0:0,223.1
1990-1-2 22:0:0,214.11
1990-1-2 23:0:0,198.18
1990-1-3 0:0:0,179.81
1990-1-3 1:0:0,175.15
1990-1-3 2:0:0,176.8
1990-1-3 3:0:0,186.58
1990-1-3 4:0:0,193.14
1990-1-3 5:0:0,205.63
1990-1-3 6:0:0,232.59
1990-1-3 7:0:0,250.04
1990-1-3 8:0:0,290.49
1990-1-3 9:0:0,183.76
1990-1-3 10:0:0,134.36
1990-1-3 11:0:0,149.35
1990-1-3 12:0:0,219.01
1990-1-3 13:0:0,244.55
1990-1-3 14:0:0,257.43
1990-1-3 15:0:0,251.61
1990-1-3 16:0:0,245.71
1990-1-3 17:0:0,243.31
1990-1-3 18:0:0,250.85
1990-1-3 19:0:0,250.16
1990-1-3 20:0:0,248.13
1990-1-3 21:0:0,239.44
1990-1-3 22:0:0,231.51
1990-1-3 23:0:0,223.23
1990-1-4 0:0:0,214.42
1990-1-4 1:0:0,210.43
1990-1-4 2:0:0,205.12
1990-1-4 3:0:0,207.38
1990-1-4 4:0:0,213.76
1990-1-4 5:0:0,222.88
1990-1-4 6:0:0,241.84
1990-1-4 7:0:0,260.86
1990-1-4 8:0:0,280.09
1990-1-4 9:0:0,283.26
1990-1-4 10:0:0,278.61
1990-1-4 11:0:0,275.45
1990-1-4 12:0:0,274.17
1990-1-4 13:0:0,269.25
1990-1-4 14:0:0,270.06
1990-1-4 15:0:0,268.82
1990-1-4 16:0:0,262.65
1990-1-4 17:0:0,259.91
1990-1-4 18:0:0,261.62
1990-1-4 19:0:0,264.22
1990-1-4 20:0:0,255.45
1990-1-4 21:0:0,244.28
1990-1-4 22:0:0,229.21
1990-1-4 23:0:0,217.1
1990-1-5 0:0:0,203
1990-1-5 1:0:0,190.43
1990-1-5 2:0:0,186.18
1990-1-5 3:0:0,186.71
1990-1-5 4:0:0,191.81
1990-1-5 5:0:0,202.11
1990-1-5 6:0:0,226.4
1990-1-5 7:0:0,247.13
1990-1-5 8:0:0,264.36
1990-1-5 9:0:0,264.75
1990-1-5 10:0:0,266.32
1990-1-5 11:0:0,262.27
1990-1-5 12:0:0,258.36
1990-1-5 13:0:0,254.15
1990-1-5 14:0:0,247.84
1990-1-5 15:0:0,245.63
1990-1-5 16:0:0,239.12
1990-1-5 17:0:0,231.51
1990-1-5 18:0:0,232.08
1990-1-5 19:0:0,232.28
1990-1-5 20:0:0,224.79
1990-1-5 21:0:0,215.86
1990-1-5 22:0:0,209.21
1990-1-5 23:0:0,194.6
1990-1-6 0:0:0,179.54
1990-1-6 1:0:0,172.65
1990-1-6 2:0:0,170.45
1990-1-6 3:0:0,171.33
1990-1-6 4:0:0,173.34
1990-1-6 5:0:0,179.28
1990-1-6 6:0:0,187.76
1990-1-6 7:0:0,195.17
1990-1-6 8:0:0,212.91
1990-1-6 9:0:0,223.88
1990-1-6 10:0:0,229.9
1990-1-6 11:0:0,235.72
1990-1-6 12:0:0,237.32
1990-1-6 13:0:0,234.52
1990-1-6 14:0:0,228.66
1990-1-6 15:0:0,219.08
1990-1-6 16:0:0,215.78
1990-1-6 17:0:0,217.98
1990-1-6 18:0:0,225.97
1990-1-6 19:0:0,226.54
1990-1-6 20:0:0,217.22
1990-1-6 21:0:0,210.43
1990-1-6 22:0:0,206.4
1990-1-6 23:0:0,201.8
1990-1-7 0:0:0,194.68
1990-1-7 1:0:0,193.97
1990-1-7 2:0:0,194.46
1990-1-7 3:0:0,193.07
1990-1-7 4:0:0,192.06
1990-1-7 5:0:0,194.11
1990-1-7 6:0:0,195.39
1990-1-7 7:0:0,192.67
1990-1-7 8:0:0,190.06
1990-1-7 9:0:0,192.51
1990-1-7 10:0:0,196.41
1990-1-7 11:0:0,198.79
1990-1-7 12:0:0,202.7
1990-1-7 13:0:0,204
1990-1-7 14:0:0,201.96
1990-1-7 15:0:0,198.91
1990-1-7 16:0:0,195.46
1990-1-7 17:0:0,196.43
1990-1-7 18:0:0,200.01
1990-1-7 19:0:0,199.99
1990-1-7 20:0:0,201.74
1990-1-7 21:0:0,195.86
1990-1-7 22:0:0,189.98
1990-1-7 23:0:0,183.86
1990-1-8 0:0:0,172.75
1990-1-8 1:0:0,168.8
1990-1-8 2:0:0,164.84
1990-1-8 3:0:0,169.29
1990-1-8 4:0:0,173.14
1990-1-8 5:0:0,179.5
1990-1-8 6:0:0,197.71
1990-1-8 7:0:0,213.83
1990-1-8 8:0:0,225.77
1990-1-8 9:0:0,211.06
1990-1-8 10:0:0,210.21
1990-1-8 11:0:0,206.05
1990-1-8 12:0:0,198.38
1990-1-8 13:0:0,192.67
1990-1-8 14:0:0,187.85
1990-1-8 15:0:0,184.1
1990-1-8 16:0:0,185.45
1990-1-8 17:0:0,190.04
1990-1-8 18:0:0,206.52
1990-1-8 19:0:0,211.4
1990-1-8 20:0:0,203.96
1990-1-8 21:0:0,198.65
1990-1-8 22:0:0,193.52
1990-1-8 23:0:0,184.94
1990-1-9 0:0:0,174.89
1990-1-9 1:0:0,170.47
1990-1-9 2:0:0,165.16
1990-1-9 3:0:0,159.16
1990-1-9 4:0:0,162.17
1990-1-9 5:0:0,169.54
1990-1-9 6:0:0,187.36
1990-1-9 7:0:0,203.78
1990-1-9 8:0:0,215.78
1990-1-9 9:0:0,218.32
1990-1-9 10:0:0,213.46
1990-1-9 11:0:0,210.43
1990-1-9 12:0:0,210.55
1990-1-9 13:0:0,202.43
1990-1-9 14:0:0,196.29
1990-1-9 15:0:0,181.01
1990-1-9 16:0:0,182.78
1990-1-9 17:0:0,206.24
1990-1-9 18:0:0,204.3
1990-1-9 19:0:0,199.69
1990-1-9 20:0:0,201.25
1990-1-9 21:0:0,194.52
1990-1-9 22:0:0,184.14
1990-1-9 23:0:0,176.53
1990-1-10 0:0:0,168.9
1990-1-10 1:0:0,162.41
1990-1-10 2:0:0,160.65
1990-1-10 3:0:0,162.03
1990-1-10 4:0:0,166.08
1990-1-10 5:0:0,181.23
1990-1-10 6:0:0,201.38
1990-1-10 7:0:0,211.93
1990-1-10 8:0:0,221.5
1990-1-10 9:0:0,219.01
1990-1-10 10:0:0,213.34
1990-1-10 11:0:0,206.99
1990-1-10 12:0:0,206.24
1990-1-10 13:0:0,202.55
1990-1-10 14:0:0,201.01
1990-1-10 15:0:0,191.18
1990-1-10 16:0:0,190.51
1990-1-10 17:0:0,192.24
1990-1-10 18:0:0,190.71
1990-1-10 19:0:0,192.06
1990-1-10 20:0:0,198.93
1990-1-10 21:0:0,187.99
1990-1-10 22:0:0,178.43
1990-1-10 23:0:0,168.64
1990-1-11 0:0:0,153.28
1990-1-11 1:0:0,152.57
1990-1-11 2:0:0,151.31
1990-1-11 3:0:0,151.85
1990-1-11 4:0:0,154.05
